category,name,number
anchor,n/a, 1000
cat,CHARLIE, 155 
cat,MOLLY, 155 
cat,MAX, 144 
cat,BELLA, 132 
cat,SMOKEY, 130 
cat,TIGER, 127 
cat,LUCY, 125 
cat,SHADOW, 108 
cat,LUCKY, 104 
cat,TIGGER, 102 
cat,COCO, 97 
cat,BUDDY, 96 
cat,NO NAME, 95 
cat,KITTY, 94 
cat,LILY, 94 
cat,LUNA, 92 
cat,GINGER, 91 
cat,CLEO, 89 
cat,MISSY, 89 
cat,PRINCESS, 89 
cat,MISTY, 87 
cat,SIMBA, 86 
cat,CHLOE, 85 
cat,FELIX, 83 
cat,OSCAR, 82 
dog,CHARLIE, 721 
dog,BELLA, 542 
dog,MAX, 533 
dog,MOLLY, 456 
dog,BUDDY, 440 
dog,MAGGIE, 403 
dog,BAILEY, 401 
dog,LUCY, 391 
dog,COCO, 386 
dog,DAISY, 373 
dog,LOLA, 369 
dog,TOBY, 328 
dog,ROCKY, 312 
dog,LUCKY, 301 
dog,RILEY, 242 
dog,RUBY, 238 
dog,JACK, 237 
dog,COOPER, 236 
dog,CHLOE, 230 
dog,ROXY, 229 
dog,MILO, 226 
dog,OSCAR, 222 
dog,LUNA, 221 
dog,SOPHIE, 219 
dog,ROSIE, 217 