city ward,year,residential accounts,annual residential usage,average residential usage,commercial accounts,annual commercial usage,average commercial usage,total count,total consumption,average consumption
1,2015,8107,2762869.37,340.80,152,4364606.20,28714.51,8259,7127475.57,862.99
2,2015,10335,2830063.13,273.83,239,7855643.68,32868.80,10574,10685706.81,1010.56
3,2015,10596,2275668.79,214.77,100,2689296.69,26892.97,10696,4964965.48,464.19
4,2015,11047,3165556.70,286.55,90,2271925.02,25243.61,11137,5437481.72,488.24
5,2015,14913,3997638.33,268.06,260,5184359.00,19939.84,15173,9181997.33,605.15
6,2015,13187,3415767.09,259.03,180,5879848.87,32665.83,13367,9295615.96,695.42
7,2015,9849,3096197.00,314.37,168,5215835.96,31046.64,10017,8312032.96,829.79
8,2015,4709,1747601.54,371.12,221,7389221.95,33435.39,4930,9136823.49,1853.31
9,2015,8186,2282622.73,278.84,122,2223175.41,18222.75,8308,4505798.14,542.34
10,2015,8867,2830413.73,319.21,157,4711626.10,30010.36,9024,7542039.83,835.78
11,2015,11757,3136939.19,266.81,142,5895132.92,41515.02,11899,9032072.11,759.06
12,2015,9441,2589217.82,274.25,131,2328158.56,17772.20,9572,4917376.38,513.73
13,2015,11944,2771857.60,232.07,72,1683614.29,23383.53,12016,4455471.89,370.79
14,2015,8281,2553100.86,308.31,120,2168462.79,18070.52,8401,4721563.65,562.02
15,2015,11464,3763813.80,328.32,160,3036639.58,18979.00,11624,6800453.38,585.04
16,2015,13332,3869046.74,290.21,92,1384588.11,15049.87,13424,5253634.85,391.36
17,2015,13607,3663548.74,269.24,49,485127.01,9900.55,13656,4148675.75,303.80
18,2015,10044,2993289.19,298.02,72,516765.84,7177.30,10116,3510055.03,346.98
19,2015,11563,3748749.16,324.20,101,2418672.78,23947.26,11664,6167421.94,528.76
20,2015,8359,4462315.25,533.83,403,9846581.48,24433.20,8762,14308896.73,1633.06
21,2015,8953,3072890.36,343.22,115,1648760.65,14337.05,9068,4721651.01,520.69
22,2015,9450,3580006.53,378.84,247,4056759.82,16424.13,9697,7636766.35,787.54
23,2015,11809,2929449.57,248.07,205,6489688.96,31657.02,12014,9419138.53,784.01
24,2015,10661,2521889.92,236.55,139,4236662.70,30479.59,10800,6758552.62,625.79
25,2015,12772,5087109.21,398.30,132,3026223.50,22925.94,12904,8113332.71,628.75
26,2015,5134,1615814.12,314.73,177,5432100.05,30689.83,5311,7047914.17,1327.04
27,2015,5971,3001469.82,502.67,438,12754138.95,29119.04,6409,15755608.77,2458.36
28,2015,4277,1923558.55,449.74,330,9186618.24,27838.24,4607,11110176.79,2411.59
29,2015,11464,2642624.49,230.52,78,1198392.49,15364.01,11542,3841016.98,332.79
30,2015,14441,3822274.04,264.68,83,1191224.67,14352.10,14524,5013498.71,345.19
31,2015,11887,2532289.56,213.03,80,1984586.77,24807.33,11967,4516876.33,377.44
32,2015,15996,3826994.33,239.25,73,1741454.43,23855.54,16069,5568448.76,346.53
33,2015,7074,1677605.39,237.15,144,4152015.32,28833.44,7218,5829620.71,807.65
34,2015,7452,2037535.89,273.42,210,4515148.53,21500.71,7662,6552684.42,855.22
35,2015,11425,2784881.24,243.75,144,3523754.98,24470.52,11569,6308636.22,545.31
36,2015,12058,2561093.68,212.40,97,2302071.48,23732.70,12155,4863165.16,400.10
37,2015,13406,3543638.61,264.33,191,6044468.08,31646.43,13597,9588106.69,705.16
38,2015,10438,2775928.99,265.94,140,4124948.83,29463.92,10578,6900877.82,652.38
39,2015,8602,2782094.40,323.42,100,2827817.60,28278.18,8702,5609912.00,644.67
40,2015,8366,2228162.55,266.34,136,3878277.05,28516.74,8502,6106439.60,718.24
41,2015,13879,4454195.71,320.93,166,4030040.66,24277.35,14045,8484236.37,604.08
42,2015,14927,4817816.40,322.76,111,2591978.92,23351.16,15038,7409795.32,492.74
43,2015,9207,2472472.76,268.54,85,2491893.84,29316.40,9292,4964366.60,534.26
44,2015,16149,4291840.77,265.77,61,1186795.37,19455.66,16210,5478636.14,337.98
1,2014,8111,2870819.53,353.94,153,4406822.05,28802.76,8264,7277641.58,880.64
2,2014,10339,3261922.47,315.50,240,7066660.73,29444.42,10579,10328583.20,976.33
3,2014,10606,2549258.04,240.36,100,2758074.55,27580.75,10706,5307332.59,495.73
4,2014,11052,3159054.65,285.84,91,2038274.00,22398.62,11143,5197328.65,466.42
5,2014,14936,4142971.45,277.38,265,5070501.59,19133.97,15201,9213473.04,606.11
6,2014,13194,3453509.16,261.75,175,5951214.51,34006.94,13369,9404723.67,703.47
7,2014,9852,3292414.50,334.19,168,5742818.14,34183.44,10020,9035232.64,901.72
8,2014,4721,1999144.83,423.46,224,7819299.57,34907.59,4945,9818444.40,1985.53
9,2014,8200,2430063.05,296.35,123,2546271.95,20701.40,8323,4976335.00,597.90
10,2014,8878,2836602.48,319.51,156,4770821.14,30582.19,9034,7607423.62,842.09
11,2014,11752,3139239.60,267.12,143,6357122.58,44455.40,11895,9496362.18,798.35
12,2014,9457,2833248.04,299.59,132,2734565.04,20716.40,9589,5567813.08,580.65
13,2014,11935,3067211.38,256.99,74,1778736.71,24036.98,12009,4845948.09,403.53
14,2014,8257,2955184.57,357.90,123,2444852.22,19876.85,8380,5400036.79,644.40
15,2014,11485,3774332.32,328.63,161,3343750.51,20768.64,11646,7118082.83,611.20
16,2014,13319,3941396.63,295.92,92,1580465.83,17178.98,13411,5521862.46,411.74
17,2014,13562,3700592.80,272.86,52,487729.81,9379.42,13614,4188322.61,307.65
18,2014,10019,3037664.58,303.19,73,1848490.59,25321.79,10092,4886155.17,484.16
19,2014,11527,3851120.35,334.10,99,2620448.33,26469.18,11626,6471568.68,556.65
20,2014,8362,4514234.79,539.85,406,9647357.30,23761.96,8768,14161592.09,1615.15
21,2014,8956,2992975.25,334.19,115,1789364.18,15559.69,9071,4782339.43,527.21
22,2014,9434,3538709.07,375.10,248,4013974.91,16185.38,9682,7552683.98,780.07
23,2014,11824,3230036.60,273.18,207,6620659.03,31983.86,12031,9850695.63,818.78
24,2014,10668,2906053.05,272.41,141,3964116.57,28114.30,10809,6870169.62,635.60
25,2014,12748,4780862.19,375.03,137,2853740.72,20830.22,12885,7634602.91,592.52
26,2014,5151,1596229.59,309.89,176,5578272.72,31694.73,5327,7174502.31,1346.82
27,2014,5958,3334266.01,559.63,439,12964272.49,29531.37,6397,16298538.50,2547.84
28,2014,4349,1982724.31,455.90,333,10751940.04,32288.11,4682,12734664.35,2719.92
29,2014,11455,2682561.20,234.18,76,1036980.30,13644.48,11531,3719541.50,322.57
30,2014,14370,3844009.64,267.50,86,1266524.41,14727.03,14456,5110534.05,353.52
31,2014,11894,2686449.82,225.87,82,2068286.77,25223.01,11976,4754736.59,397.02
32,2014,15929,3885969.75,243.96,74,1879858.63,25403.50,16003,5765828.38,360.30
33,2014,7086,1812937.88,255.85,146,4218752.32,28895.56,7232,6031690.20,834.03
34,2014,7467,2038575.64,273.01,211,4915958.41,23298.38,7678,6954534.05,905.77
35,2014,11455,3057982.92,266.96,146,3800527.19,26031.01,11601,6858510.11,591.20
36,2014,12096,2853186.92,235.88,95,2292810.82,24134.85,12191,5145997.74,422.11
37,2014,13430,3580402.66,266.60,192,6618300.56,34470.32,13622,10198703.22,748.69
38,2014,10455,2824858.44,270.19,139,4388345.10,31570.83,10594,7213203.54,680.88
39,2014,8603,2816056.82,327.33,99,3159467.18,31913.81,8702,5975524.00,686.68
40,2014,8376,2552539.80,304.74,136,3634348.23,26723.15,8512,6186888.03,726.84
41,2014,13894,4643999.28,334.24,167,4102491.37,24565.82,14061,8746490.65,622.04
42,2014,14927,5115762.84,342.72,110,2684946.34,24408.60,15037,7800709.18,518.77
43,2014,9218,2527135.77,274.15,86,2484159.44,28885.57,9304,5011295.21,538.62
44,2014,16166,4337272.53,268.30,61,1168826.21,19161.09,16227,5506098.74,339.32
1,2013,8094,2915286.25,360.18,162,4702237.33,29026.16,8256,7617523.58,922.67
2,2013,10327,3290050.93,318.59,258,8339901.19,32325.20,10585,11629952.12,1098.72
3,2013,10612,2537828.03,239.15,103,2861277.43,27779.39,10715,5399105.46,503.88
4,2013,11080,3202393.50,289.02,93,2395270.74,25755.60,11173,5597664.24,501.00
5,2013,14968,3988364.93,266.46,270,5469170.08,20256.19,15238,9457535.01,620.65
6,2013,13139,3536042.82,269.13,182,5780240.82,31759.56,13321,9316283.64,699.37
7,2013,9817,3244589.28,330.51,185,6114678.87,33052.32,10002,9359268.15,935.74
8,2013,4722,2150795.08,455.48,236,9005959.22,38160.84,4958,11156754.30,2250.25
9,2013,8204,2406044.96,293.28,124,2630413.68,21213.01,8328,5036458.64,604.76
10,2013,8924,3195052.68,358.03,155,5099808.65,32901.99,9079,8294861.33,913.63
11,2013,11584,3154674.51,272.33,142,5678799.68,39991.55,11726,8833474.19,753.32
12,2013,9458,2744287.32,290.16,139,2877014.53,20697.95,9597,5621301.85,585.74
13,2013,11804,3073108.46,260.34,75,1916366.05,25551.55,11879,4989474.51,420.02
14,2013,8045,3020929.10,375.50,127,1830755.50,14415.40,8172,4851684.60,593.70
15,2013,11519,4090400.66,355.10,167,3106578.61,18602.27,11686,7196979.27,615.86
16,2013,13228,3867487.59,292.37,95,1503362.64,15824.87,13323,5370850.23,403.13
17,2013,13290,3776549.44,284.16,52,481054.60,9251.05,13342,4257604.04,319.11
18,2013,9913,3120217.51,314.76,69,1852854.09,26852.96,9982,4973071.60,498.20
19,2013,11291,3850988.89,341.07,99,2584904.31,26110.14,11390,6435893.20,565.05
20,2013,8261,4491422.93,543.69,409,9679532.76,23666.34,8670,14170955.69,1634.48
21,2013,8871,3165260.75,356.81,123,1601589.98,13021.06,8994,4766850.73,530.00
22,2013,9269,3587598.23,387.05,250,3766937.67,15067.75,9519,7354535.90,772.62
23,2013,11981,3511819.35,293.12,204,7261194.07,35594.09,12185,10773013.42,884.12
24,2013,10715,3041212.12,283.83,144,4649250.63,32286.46,10859,7690462.75,708.21
25,2013,12697,5157985.28,406.24,140,2768870.95,19777.65,12837,7926856.23,617.50
26,2013,5162,1633147.37,316.38,187,6516803.81,34849.22,5349,8149951.18,1523.64
27,2013,5792,3374724.16,582.65,440,13329474.94,30294.26,6232,16704199.10,2680.39
28,2013,4311,1955311.56,453.56,326,11261758.98,34545.27,4637,13217070.54,2850.35
29,2013,11370,2722649.73,239.46,76,1156285.42,15214.28,11446,3878935.15,338.89
30,2013,13578,3667467.62,270.10,89,1540571.57,17309.79,13667,5208039.19,381.07
31,2013,11871,2680136.90,225.77,87,2224633.42,25570.50,11958,4904770.32,410.17
32,2013,15209,3681610.77,242.07,76,1229958.40,16183.66,15285,4911569.17,321.33
33,2013,7089,1775903.28,250.52,145,4535310.96,31278.01,7234,6311214.24,872.44
34,2013,7477,2132594.26,285.22,222,4264000.82,19207.21,7699,6396595.08,830.83
35,2013,11405,3161431.95,277.20,148,4309753.21,29119.95,11553,7471185.16,646.69
36,2013,12098,3025970.52,250.12,95,2331247.48,24539.45,12193,5357218.00,439.37
37,2013,13362,3575641.47,267.60,200,6949863.68,34749.32,13562,10525505.15,776.10
38,2013,10424,2806501.24,269.23,141,4348109.29,30837.65,10565,7154610.53,677.20
39,2013,8572,2740476.33,319.70,99,3120141.71,31516.58,8671,5860618.04,675.89
40,2013,8359,2597442.92,310.74,137,3683461.79,26886.58,8496,6280904.71,739.28
41,2013,13850,4415064.90,318.78,175,4038659.50,23078.05,14025,8453724.40,602.76
42,2013,14888,5235015.32,351.63,114,2830780.08,24831.40,15002,8065795.40,537.65
43,2013,9195,2556378.67,278.02,87,2663193.42,30611.42,9282,5219572.09,562.33
44,2013,16144,4426599.28,274.19,60,1002745.35,16712.42,16204,5429344.63,335.06
1,2012,8092,3107607.73,384.03,161,4544977.79,28229.68,8253,7652585.52,927.25
2,2012,10278,3484083.24,338.98,258,8222665.12,31870.80,10536,11706748.36,1111.12
3,2012,10601,2789582.70,263.14,103,2835782.80,27531.87,10704,5625365.50,525.54
4,2012,11074,3542190.66,319.87,93,1782965.88,19171.68,11167,5325156.54,476.87
5,2012,14941,4515025.76,302.19,269,5232528.72,19451.78,15210,9747554.48,640.86
6,2012,13136,3692715.97,281.11,184,6136288.81,33349.40,13320,9829004.78,737.91
7,2012,9722,3174235.22,326.50,184,5560836.96,30221.94,9906,8735072.18,881.80
8,2012,4695,2000047.56,426.00,238,5005626.77,21032.05,4933,7005674.33,1420.17
9,2012,8203,2346052.66,286.00,125,2398799.84,19190.40,8328,4744852.50,569.75
10,2012,8900,2766313.99,310.82,156,4651094.22,29814.71,9056,7417408.21,819.06
11,2012,11466,3193509.73,278.52,143,5705262.26,39896.94,11609,8898771.99,766.54
12,2012,9443,2855041.89,302.34,140,2738380.47,19559.86,9583,5593422.36,583.68
13,2012,11745,3176200.61,270.43,74,1377827.71,18619.29,11819,4554028.32,385.31
14,2012,7994,2993999.70,374.53,126,1378776.92,10942.67,8120,4372776.62,538.52
15,2012,11492,3874558.20,337.15,167,3026163.28,18120.74,11659,6900721.48,591.88
16,2012,12984,4073689.64,313.75,96,1773134.72,18470.15,13080,5846824.36,447.00
17,2012,12973,3248634.51,250.42,52,500593.08,9626.79,13025,3749227.59,287.85
18,2012,9879,3141112.38,317.96,69,1624911.27,23549.44,9948,4766023.65,479.09
19,2012,11037,3844422.40,348.32,101,2829184.51,28011.73,11138,6673606.91,599.17
20,2012,8215,4565603.80,555.76,408,7942928.55,19467.96,8623,12508532.35,1450.60
21,2012,8343,2788952.72,334.29,122,1372664.95,11251.35,8465,4161617.67,491.63
22,2012,8993,3256326.96,362.10,252,4510003.24,17896.84,9245,7766330.20,840.06
23,2012,11926,3240600.20,271.73,202,6530276.74,32328.10,12128,9770876.94,805.65
24,2012,10691,3075399.51,287.66,146,3312979.10,22691.64,10837,6388378.61,589.50
25,2012,11266,4980473.34,442.08,142,3063273.66,21572.35,11408,8043747.00,705.10
26,2012,5132,1622645.19,316.18,190,3781231.11,19901.22,5322,5403876.30,1015.38
27,2012,5505,3095182.74,562.25,445,13413718.12,30143.19,5950,16508900.86,2774.61
28,2012,4308,2007174.55,465.92,327,11403565.38,34873.29,4635,13410739.93,2893.36
29,2012,11113,2490481.16,224.11,77,1050491.16,13642.74,11190,3540972.32,316.44
30,2012,11118,2506346.00,225.43,88,1437946.87,16340.31,11206,3944292.87,351.98
31,2012,11044,2517271.30,227.93,87,1341616.20,15420.88,11131,3858887.50,346.68
32,2012,10383,2392602.06,230.43,76,1055075.96,13882.58,10459,3447678.02,329.64
33,2012,7082,1958632.18,276.56,145,2529788.13,17446.81,7227,4488420.31,621.06
34,2012,7452,2257386.51,302.92,223,4816056.53,21596.67,7675,7073443.04,921.62
35,2012,11242,3162691.94,281.33,149,3028378.29,20324.69,11391,6191070.23,543.51
36,2012,12068,3026084.25,250.75,95,2017922.46,21241.29,12163,5044006.71,414.70
37,2012,13236,3685559.21,278.45,201,6742138.23,33542.98,13437,10427697.44,776.04
38,2012,10414,2892144.08,277.72,142,2447348.40,17234.85,10556,5339492.48,505.83
39,2012,8589,2972098.22,346.04,99,2666756.16,26936.93,8688,5638854.38,649.04
40,2012,8357,2690777.65,321.98,140,3344159.12,23886.85,8497,6034936.77,710.24
41,2012,13788,4673977.53,338.99,174,5037284.83,28949.91,13962,9711262.36,695.55
42,2012,14855,5215687.79,351.11,114,2321425.02,20363.38,14969,7537112.81,503.51
43,2012,9177,2564789.37,279.48,86,2757652.28,32065.72,9263,5322441.65,574.59
44,2012,16096,4457430.44,276.93,61,1331217.03,21823.23,16157,5788647.47,358.27
1,2011,8088,3090655.25,382.13,161,4952311.05,30759.70,8249,8042966.30,975.02
2,2011,10206,3465504.64,339.56,261,10123879.09,38788.81,10467,13589383.73,1298.31
3,2011,10612,2766818.24,260.73,105,2972594.43,28310.42,10717,5739412.67,535.54
4,2011,11091,3469013.63,312.78,94,2507894.36,26679.73,11185,5976907.99,534.37
5,2011,14962,4440151.84,296.76,269,5556831.20,20657.37,15231,9996983.04,656.36
6,2011,11994,3512220.57,292.83,181,5433290.71,30018.18,12175,8945511.28,734.74
7,2011,9609,3220543.74,335.16,183,5862079.52,32033.22,9792,9082623.26,927.56
8,2011,4636,1898309.03,409.47,234,7118004.60,30418.82,4870,9016313.63,1851.40
9,2011,8068,2317664.97,287.27,123,2440799.54,19843.90,8191,4758464.51,580.94
10,2011,8830,2781071.20,314.96,150,5464141.52,36427.61,8980,8245212.72,918.18
11,2011,11453,3311882.61,289.17,139,6681217.23,48066.31,11592,9993099.84,862.07
12,2011,9322,2870889.44,307.97,143,2938566.26,20549.41,9465,5809455.70,613.78
13,2011,11162,2689631.83,240.96,75,2148338.57,28644.51,11237,4837970.40,430.54
14,2011,7326,2305384.28,314.69,123,2347397.55,19084.53,7449,4652781.83,624.62
15,2011,11523,4011380.78,348.12,168,3527877.18,20999.27,11691,7539257.96,644.88
16,2011,9737,3311750.45,340.12,96,1595363.63,16618.37,9833,4907114.08,499.05
17,2011,7799,2509542.42,321.78,48,454613.28,9471.11,7847,2964155.70,377.74
18,2011,9417,2949343.92,313.19,60,1834362.87,30572.71,9477,4783706.79,504.77
19,2011,9602,2730473.86,284.37,83,2884223.17,34749.68,9685,5614697.03,579.73
20,2011,7799,4092593.71,524.76,426,9493108.88,22284.29,8225,13585702.59,1651.76
21,2011,7484,2885808.55,385.60,120,1797626.94,14980.22,7604,4683435.49,615.92
22,2011,5469,2769399.82,506.38,249,3685656.81,14801.83,5718,6455056.63,1128.90
23,2011,11860,3162043.51,266.61,195,6803226.17,34888.34,12055,9965269.68,826.65
24,2011,10662,3053270.36,286.37,137,4201101.11,30664.97,10799,7254371.47,671.76
25,2011,11296,4750374.30,420.54,144,3081068.89,21396.31,11440,7831443.19,684.57
26,2011,5149,1613814.27,313.42,191,5332935.34,27921.13,5340,6946749.61,1300.89
27,2011,4172,2945434.23,706.00,435,11638909.91,26756.11,4607,14584344.14,3165.69
28,2011,4230,1877964.11,443.96,334,10264351.39,30731.59,4564,12142315.50,2660.45
29,2011,9562,2448079.34,256.02,76,1156501.20,15217.12,9638,3604580.54,374.00
30,2011,5493,2159065.43,393.06,81,1686156.81,20816.75,5574,3845222.24,689.85
31,2011,11010,2646118.41,240.34,87,2820071.10,32414.61,11097,5466189.51,492.58
32,2011,7417,2462960.81,332.07,75,1238573.90,16514.32,7492,3701534.71,494.06
33,2011,7033,1953083.15,277.70,145,3925038.28,27069.23,7178,5878121.43,818.91
34,2011,7415,2184813.84,294.65,221,5497493.85,24875.54,7636,7682307.69,1006.06
35,2011,11212,3246689.06,289.57,145,3657291.62,25222.70,11357,6903980.68,607.91
36,2011,12041,3137535.41,260.57,94,2204450.78,23451.60,12135,5341986.19,440.21
37,2011,13229,3813636.86,288.28,202,7325678.69,36265.74,13431,11139315.55,829.37
38,2011,10413,2947937.57,283.10,140,4465997.48,31899.98,10553,7413935.05,702.54
39,2011,8597,3050736.94,354.86,98,3211618.15,32771.61,8695,6262355.09,720.22
40,2011,8358,2710859.71,324.34,135,3776174.10,27971.66,8493,6487033.81,763.81
41,2011,13793,4859773.77,352.34,172,4253636.52,24730.44,13965,9113410.29,652.59
42,2011,14791,5376800.13,363.52,110,2835746.64,25779.51,14901,8212546.77,551.14
43,2011,9146,2648764.54,289.61,87,2627798.82,30204.58,9233,5276563.36,571.49
44,2011,15949,4654663.19,291.85,60,1151847.62,19197.46,16009,5806510.81,362.70
1,2010,8084,3114735.76,385.30,159,4864762.05,30595.99,8243,7979497.81,968.03
2,2010,10197,3488812.40,342.14,262,8539646.07,32594.07,10459,12028458.47,1150.06
3,2010,10612,2793460.63,263.24,104,2902727.42,27910.84,10716,5696188.05,531.56
4,2010,11092,3505396.74,316.03,93,2508722.90,26975.52,11185,6014119.64,537.70
5,2010,14950,4478140.16,299.54,264,5704386.12,21607.52,15214,10182526.28,669.29
6,2010,11860,3556314.67,299.86,177,5202250.24,29391.24,12037,8758564.91,727.64
7,2010,9140,3053172.07,334.05,182,4509246.98,24776.08,9322,7562419.05,811.24
8,2010,4561,1782040.86,390.71,235,6205700.50,26407.24,4796,7987741.36,1665.50
9,2010,7979,2255633.46,282.70,121,2467262.31,20390.60,8100,4722895.77,583.07
10,2010,8719,2670063.63,306.24,150,5563704.65,37091.36,8869,8233768.28,928.38
11,2010,11440,3260425.89,285.00,139,5507551.15,39622.67,11579,8767977.04,757.23
12,2010,9315,2743036.67,294.48,142,2869384.36,20206.93,9457,5612421.03,593.47
